Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying,Arithmancy_missing,Astronomy_missing,Herbology_missing,Defense Against the Dark Arts_missing,Divination_missing,Muggle Studies_missing,Ancient Runes_missing,History of Magic_missing,Transfiguration_missing,Potions_missing,Care of Magical Creatures_missing
0,Ravenclaw,Tamara,Hsu,0.8,0,0.6398867977050245,0.24148559436684192,0.7313508799119366,0.7585144056331582,0.7169358707820247,0.6234988944148684,0.5386788353677823,0.6790809726454082,0.6923535131916837,0.46548965523964175,0.6325706048190499,0.793213118859273,0.3356494549876232,0,0,0,0,0,0,0,0,0,0,0
1,Slytherin,Erich,Paredes,0.6,1,0.7083571748913599,0.20912252876493503,0.19664539317751056,0.7908774712350651,0.16605362759208914,0.27498291792687884,0.1817678379927306,0.6249143169396459,0.7919543221557792,0.6551532656852214,0.5345732370084205,0.24886232137533257,0.14769618274199853,0,0,0,0,0,0,0,0,0,0,0
2,Ravenclaw,Stephany,Braun,0.6,0,0.3717117980916444,0.302914181247924,0.8225406480067575,0.6970858187520761,0.7925262540647157,0.8038010257817897,0.6905683603505536,0.5983299459444509,0.9434835811039638,0.7363076470337869,0.43928596535315384,0.9462530017590861,0.46009032874451733,0,0,0,0,0,0,0,0,0,0,0
3,Gryffindor,Vesta,Mcmichael,0.8,0,0.4410327389697354,0.8393964889281106,0.17337737761558894,0.16060351107188955,0.6798336798336798,0.2521911868501568,0.5202571610452487,0.19516187825326148,0.07156484470138796,0.30269385972356766,0.5179781153906047,0.11796962334906827,0.8296999174881662,0,0,0,0,0,0,0,0,0,0,0
4,Gryffindor,Gaston,Gibbs,0.4,0,0.6536040703338849,0.7077909123309761,0.11297136558719978,0.49291427683210426,0.584412815182046,0.29475358588770184,0.6835031782949441,0.26096164659949056,0.16017918820898294,0.4940456349054908,0.47872835652225687,0.13086799334545812,0.7370695270769098,0,0,0,1,0,0,0,0,0,0,0
5,Slytherin,Corrine,Hammond,0.6,1,0.3524349318775807,0.17804429896655086,0.274160721489851,0.8219557010334493,0.11381203688895995,0.2962519814729501,0.2433926722066436,0.6862731158098402,0.7602411188089495,0.9020771080754243,0.6849949889941962,0.36785915412295866,0.3187128153906284,0,0,0,0,0,0,0,0,0,0,0
6,Gryffindor,Tom,Guido,0.8,0,0.5686172927330931,0.8042485173510389,0.24801662209402273,0.1957514826489613,0.6333445105435446,0.07325044259957154,0.649741155459634,0.07405312861523908,0.08793311572354927,0.3479249947498167,0.5442036156890848,0.09024086502316905,0.9619577018282885,0,0,0,0,1,0,0,0,0,0,0
7,Hufflepuff,Alicia,Hayward,0.2,1,0.4436849512085737,0.6950006529112573,0.7406920388020013,0.30499934708874277,0.6128258435950744,0.26824517095584777,0.33688589835116073,0.5697747007282028,0.6991317000909038,0.6185764496649503,0.4932279502415736,0.47764254460458144,0.5509184869935294,0,0,0,0,0,0,0,1,0,0,0
8,Gryffindor,Bella,Leatherman,0.4,0,0.3452360700864482,0.7378570595792817,0.23186243667891945,0.26214294042071834,0.7773335465643159,0.21109177387836353,0.6152901826337274,0.128216756995284,0.09685486081846433,0.31720541793552015,0.7002436672366426,0.24629752633154048,0.924089112780649,0,0,0,0,0,0,0,0,0,0,0
9,Hufflepuff,Hayden,Aponte,1.0,1,0.5465722283222244,0.7533887681378066,0.8315411897704005,0.24661123186219341,0.6441174902713365,0.315938979458238,0.12481619806907102,0.6669142013748941,0.7008096935579827,0.37107692778412477,0.4370487343129665,0.46247302838399446,0.39384201155165677,0,0,0,0,0,0,0,0,0,0,0
10,Hufflepuff,Antonio,Denning,0.4,1,0.46385877549757976,0.7925931249651438,0.7202597002602857,0.2074068750348562,0.7508395969934432,0.25503907995221375,0.43551781791108657,0.7016652861078994,0.6741405061649393,0.7672714158306136,0.44223301323264036,0.5153519939765502,0.534329265644678,0,0,0,0,0,0,0,0,0,0,0
11,Hufflepuff,Neville,Hall,1.0,0,0.5483816092665048,0.7086894442148486,0.7127890948808979,0.2913105557851515,0.6258862412708567,0.2606544177553853,0.2885954598037048,0.6583750211739213,0.7286122629584904,0.6073434244846352,0.3758169172189656,0.4529794125788375,0.4388978156077648,0,0,0,0,0,0,0,0,0,0,0
12,Hufflepuff,Rocky,Trask,0.8,1,0.3944837078391043,0.845121187363683,0.5477791725419587,0.15487881263631695,0.8432219201449971,0.3477850940602361,0.32854567954927916,0.730630736777936,0.6780034315280264,0.702401313374894,0.37275490643870623,0.4785209644482806,0.4104529465410171,0,0,0,0,0,0,0,0,0,0,0
13,Slytherin,Fred,Simms,0.2,0,0.4821458948703277,0.21309058073363463,0.13633059656814997,0.7869094192663655,0.13577482808252042,0.3518082885704645,0.23353649595875622,0.5674438215054313,0.9148509499833688,0.8580708372947533,0.7986476471084916,0.27859468546168886,0.21941633734311897,0,0,0,0,0,0,0,0,0,0,0
14,Ravenclaw,Jan,Saylor,0.4,1,0.5347803225956111,0.3879130908930243,0.5951148077965872,0.6120869091069758,0.8172077402846634,0.7406782955115859,0.697080046777561,0.6910836024925021,0.8157558489269694,0.7735427067619164,0.34551806976717275,0.7969864781175487,0.35074043514135583,0,0,0,0,0,0,0,0,0,0,0
